Rating,MRP,Processor,Display,OS,Brand,RAMSize,RAMType,Storage_HDD,Storage_SSD
4.2,36990.0,Intel Core i3 Processor,35.56,Windows,LENOVO,8,DDR4 ,0,256
4.2,39990.0,Intel Core i3 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.3,32990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.4,49990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.4,49990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.2,36990.0,Intel Core i3 Processor,35.56,Windows,HP,8,DDR4 ,0,256
4.3,38990.0,Intel Core i3 Processor,39.62,Windows,DELL,8,DDR4 ,1000,256
4.1,39990.0,Intel Core i5 Processor,39.62,Windows,REDMIBOOK,8,DDR4 ,0,512
4.4,46990.0,Intel Core i3 Processor,35.56,Windows,REALME,8,DDR4 ,0,256
4.1,44990.0,Ryzen 7 Quad Core Processor,35.56,Windows,ASUS,16,DDR4 ,0,512
4.4,59990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.2,38705.0,Ryzen 5 Quad Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.3,32990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,256
4.4,52990.0,Ryzen 5 Hexa Core Processor,43.94,Windows,ASUS,8,DDR4 ,0,512
4.3,29990.0,Intel Core i3 Processor,39.62,Windows,ACER,8,DDR4 ,0,256
4.3,196990.0,Ryzen 9 Octa Core Processor,39.62,Windows,ASUS,16,DDR5 ,0,1000
4.3,47990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,1000,256
4.3,45990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.4,47990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,MSI,8,DDR4 ,0,512
4.6,85990.0,Ryzen 7 Octa Core Processor,39.62,Windows,ASUS,16,DDR4 ,0,1000
4.7,88990.0,M1 Processor,33.78,Mac,APPLE,8,DDR4 ,0,256
4.2,40990.0,Intel Core i3 Processor,35.56,Windows,HP,8,DDR4 ,0,512
3.7,19490.0,Intel Celeron Dual Core Processor,39.62,DOS,LENOVO,4,LPDDR4 ,256,256
4.2,35590.0,Ryzen 3 Dual Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.3,65990.0,Intel Core i5 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.3,58990.0,Intel Core i5 Processor,39.62,Windows,ACER,16,DDR4 ,0,512
4.2,24990.0,Ryzen 3 Dual Core Processor,39.62,Windows,ACER,8,DDR4 ,0,256
4.4,47990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.4,73990.0,Ryzen 7 Octa Core Processor,43.94,Windows,ASUS,8,DDR4 ,0,512
4.2,53490.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.9,150990.0,Ryzen 9 Octa Core Processor,39.62,Windows,ASUS,16,DDR4 ,0,1000
4.3,51990.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.7,66990.0,Intel Core i5 Processor,35.56,Windows,ASUS,16,DDR4 ,0,512
4.3,194990.0,Ryzen 9 Octa Core Processor,39.62,Windows,ASUS,16,DDR5 ,0,1000
4.4,51990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ACER,16,DDR4 ,0,512
3.9,25990.0,Athlon Dual Core Processor,35.56,Windows,HP,8,DDR4 ,0,256
4.2,35990.0,Ryzen 5 Quad Core Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.2,43990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.3,44990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
3.7,64490.0,Ryzen 5 Hexa Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.4,40990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,256
4.4,38990.0,Intel Core i3 Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.2,58990.0,Intel Core i5 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.4,59990.0,Intel Core i5 Processor,35.56,Windows,REALME,8,DDR4 ,0,512
